Timestamp,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Packet_Size,TTL,Flags,Attack_Type
1743394012.183737,192.168.246.50,192.168.246.210,1415,80,6,54,64,S,Normal
1743394012.1944268,192.168.246.50,192.168.246.210,1416,80,6,54,64,S,Normal
1743394012.200063,192.168.246.50,192.168.246.210,1417,80,6,54,64,S,Normal
1743394012.203739,192.168.246.50,192.168.246.210,1418,80,6,54,64,S,Normal
1743394012.208555,192.168.246.50,192.168.246.210,1419,80,6,54,64,S,Normal
1743394012.241972,192.168.246.50,192.168.246.210,1420,80,6,54,64,S,Normal
1743394012.249898,192.168.246.50,192.168.246.210,1421,80,6,54,64,S,Normal
1743394012.257233,192.168.246.50,192.168.246.210,1422,80,6,54,64,S,Normal
1743394012.263179,192.168.246.50,192.168.246.210,1423,80,6,54,64,S,Normal
1743394012.27166,192.168.246.50,192.168.246.210,1424,80,6,54,64,S,Normal
1743394012.279944,192.168.246.50,192.168.246.210,1425,80,6,54,64,S,Normal
1743394012.313942,192.168.246.50,192.168.246.210,1426,80,6,54,64,S,Normal
1743394012.3493629,192.168.246.50,192.168.246.210,1427,80,6,54,64,S,Normal
1743394012.381716,192.168.246.50,192.168.246.210,1428,80,6,54,64,S,Normal
1743394012.3895712,192.168.246.50,192.168.246.210,1429,80,6,54,64,S,Normal
1743394012.397851,192.168.246.50,192.168.246.210,1430,80,6,54,64,S,Normal
1743394012.4069388,192.168.246.50,192.168.246.210,1431,80,6,54,64,S,Normal
1743394012.4183738,192.168.246.50,192.168.246.210,1432,80,6,54,64,S,Normal
1743394012.428139,192.168.246.50,192.168.246.210,1433,80,6,54,64,S,Normal
1743394012.432065,192.168.246.50,192.168.246.210,1434,80,6,54,64,S,Nmap SYN Scan
1743394012.441352,192.168.246.50,192.168.246.210,1435,80,6,54,64,S,Nmap SYN Scan
1743394012.4466162,192.168.246.50,192.168.246.210,1436,80,6,54,64,S,Nmap SYN Scan
1743394012.463201,192.168.246.50,192.168.246.210,1437,80,6,54,64,S,Nmap SYN Scan
1743394012.4711192,192.168.246.50,192.168.246.210,1438,80,6,54,64,S,Nmap SYN Scan
1743394012.475172,192.168.246.50,192.168.246.210,1439,80,6,54,64,S,Nmap SYN Scan
1743394012.481867,192.168.246.50,192.168.246.210,1440,80,6,54,64,S,Nmap SYN Scan
1743394012.491564,192.168.246.50,192.168.246.210,1441,80,6,54,64,S,Nmap SYN Scan
1743394012.494255,192.168.246.50,192.168.246.210,1442,80,6,54,64,S,Nmap SYN Scan
1743394012.498998,192.168.246.50,192.168.246.210,1443,80,6,54,64,S,Nmap SYN Scan
1743394012.5076401,192.168.246.50,192.168.246.210,1444,80,6,54,64,S,Nmap SYN Scan
1743394012.514823,192.168.246.50,192.168.246.210,1445,80,6,54,64,S,Nmap SYN Scan
1743394012.525101,192.168.246.50,192.168.246.210,1446,80,6,54,64,S,Nmap SYN Scan
1743394012.531324,192.168.246.50,192.168.246.210,1447,80,6,54,64,S,Nmap SYN Scan
1743394012.539916,192.168.246.50,192.168.246.210,1448,80,6,54,64,S,Nmap SYN Scan
1743394012.547176,192.168.246.50,192.168.246.210,1449,80,6,54,64,S,Nmap SYN Scan
1743394012.5542731,192.168.246.50,192.168.246.210,1450,80,6,54,64,S,Nmap SYN Scan
1743394012.562557,192.168.246.50,192.168.246.210,1451,80,6,54,64,S,Nmap SYN Scan
1743394012.5679822,192.168.246.50,192.168.246.210,1452,80,6,54,64,S,Nmap SYN Scan
1743394012.577517,192.168.246.50,192.168.246.210,1453,80,6,54,64,S,Nmap SYN Scan
1743394012.580349,192.168.246.50,192.168.246.210,1454,80,6,54,64,S,Nmap SYN Scan
